id,name,category,cred:credibility,eco:chemicals,eco:lifetime,eco:water,eco:inputs,eco:quality,eco:energy,eco:waste_air,eco:environmental_management,social:labour_rights,social:business_practice,social:social_rights,social:company_responsibility,social:conflict_minerals
certificate:BETTER_COTTON_INITIATIVE,Better Cotton Initiative (BCI) / Better Cotton,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:BIORE,bioRe,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:BLUE_ANGEL,Blauer Engel,Fashion,93,86,0,81,100,100,0,24,40,55,0,0,0,0
certificate:BLUE_ANGEL_LAPTOPS,Blauer Engel - Laptops,Electronics,73,77,87,0,0,100,40,71,0,0,0,0,0,0
certificate:BLUE_ANGEL_LEATHER,Blaue Engel - Leder,Fashion,73,67,0,100,60,0,0,0,0,22,0,0,0,0
certificate:BLUE_ANGEL_SMARTPHONES,Blaue Engel - Smartphones,Electronics/Smartphones,73,71,83,0,0,50,25,67,0,72,0,0,0,100
certificate:BLUE_ANGEL_PRINTER,Blaue Engel - Printer,Electronics,73,88,50,0,0,50,25,67,0,50,0,0,0,100
certificate:TCO_TABLETS,TCO Tablets,Electronic,78,63,83,0,0,50,50,67,100,55,0,0,0,100
certificate:BLUE_ANGEL_TEXTILES,Blaue Engel - Textilien,Fashion,93,86,0,81,100,100,0,24,40,55,0,0,0,0
certificate:BLUESIGN_APPROVED,Bluesign Approved,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:BLUESIGN_PRODUCT,Bluesign - Product,Fashion,79,81,0,100,38,75,50,62,41,65,33,0,0,0
certificate:CA_BIOCOTTON,C&A Biocotton,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:CARBON_TRUST_REDUCING ,Carbon Trust Reducing,Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:CONTENT_CLAIM_STANDARD,Content Claim Standard,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:COTTON_MADE_IN_AFRICA,Cotton made in Africa,Fashion,80,63,0,40,33,0,100,18,20,87,67,17,0,0
certificate:CRADLE_TO_CRADLE_GOLD,Cradle to Cradle - Gold Level,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:CRADLE_TO_CRADLE_PLATINUM,Cradle to Cradle - Platin,Fashion,85,63,0,80,42,0,100,54,50,0,7,0,0,0
